Day,Title,Source,Status,Verification_URL,Verified
4,"Joseph: Beloved Son Betrayed","Augustine; Against Faustus XII.41 - Joseph as type of Christ betrayed","vague","https://www.newadvent.org/fathers/",NO
4,"Joseph: Beloved Son Betrayed","Gregory the Great; Morals on Job - Divine Providence in suffering","vague","https://www.newadvent.org/fathers/",NO
8,"The Suffering Servant","Augustine; City of God XVII.8 - Davidic covenant fulfilled in Christ","vague","https://www.newadvent.org/fathers/",NO
9,"Born of a Virgin in Bethlehem","Irenaeus; Against Heresies 3.21 - Virgin conception","vague","https://www.newadvent.org/fathers/",NO
10,"Wonderful Counselor; Mighty God","Irenaeus; Against Heresies 3.16 - Isaiah's prophecy of Incarnation","vague","https://www.newadvent.org/fathers/",NO
11,"Moses the Deliverer","Augustine; City of God X.32 - Moses type of Christ","vague","https://www.newadvent.org/fathers/",NO
11,"Moses the Deliverer","Gregory of Nyssa; Life of Moses - Moses as type","vague","https://www.newadvent.org/fathers/",NO
15,"David the Shepherd King","Gregory the Great; Pastoral Rule - Shepherd-king imagery","vague","https://www.newadvent.org/fathers/",NO
16,"Jonah: Three Days in the Grave","Augustine; Letter 102.6-8 - Jonah typology","vague","https://www.newadvent.org/fathers/",NO
18,"Born in Bethlehem","Origen; Against Celsus 1.51 - Historical Bethlehem birth","vague","https://www.newadvent.org/fathers/",NO
20,"Melchizedek: Priest Forever","Augustine; City of God XVI.22 - Melchizedek type of Christ","vague","https://www.newadvent.org/fathers/",NO
21,"The Tabernacle: God Dwelling With Us","Augustine; City of God XVII.20 - Tabernacle as type of Church","vague","https://www.newadvent.org/fathers/",NO
21,"The Tabernacle: God Dwelling With Us","Gregory of Nyssa; Life of Moses - Tabernacle symbolism","vague","https://www.newadvent.org/fathers/",NO
23,"Daniel's Son of Man","Irenaeus; Against Heresies 4.20.11 - Son of Man prophecy","vague","https://www.newadvent.org/fathers/",NO
23,"Daniel's Son of Man","Origen; Commentary on Matthew 24 - Son of Man coming on clouds","vague","https://www.newadvent.org/fathers/",NO
24,"The Kinsman Redeemer","Origen; Homilies on Ruth - Boaz typology","vague","https://www.newadvent.org/fathers/",NO
26,"Ezekiel's Good Shepherd","Gregory the Great; Pastoral Rule - Christ the shepherd","vague","https://www.newadvent.org/fathers/",NO
27,"Hosea: Love That Redeems","Origen; Commentary on Song of Songs - Divine love imagery","vague","https://www.newadvent.org/fathers/",NO
27,"Hosea: Love That Redeems","Augustine; City of God XVII.16 - Hosea's marriage typology","vague","https://www.newadvent.org/fathers/",NO
28,"Joel: The Spirit Poured Out","Augustine; Sermons 269-270 - Pentecost","vague","https://www.newadvent.org/fathers/",NO
28,"Joel: The Spirit Poured Out","Leo XIII; Divinum Illud Munus - On the Holy Spirit","vague","https://www.newadvent.org/fathers/",NO
29,"Malachi: Sun of Righteousness","Origen; Commentary on John 1 - True light","vague","https://www.newadvent.org/fathers/",NO
