Day,Title,Reference,CurrentText,NewText (fill this in),BibleGatewayLink
15,"David the Shepherd King","1 Samuel 17:34-37","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=1%20Samuel%2017%3A34-37&version=NABRE
17,"Psalm 22: The Crucifixion Psalm","Psalm 22:1, 16-18","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2022%3A1%2C%2016-18&version=NABRE
29,"Malachi: Sun of Righteousness","Malachi 4:2","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Malachi%204%3A2&version=NABRE
33,"Psalm 110: Sit at My Right Hand","Psalm 110:1","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%20110%3A1&version=NABRE
35,"Psalm 40: A Body You Prepared for Me","Psalm 40:6-8","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2040%3A6-8&version=NABRE
41,"Solomon: The Wise King","1 Kings 3:12","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=1%20Kings%203%3A12&version=NABRE
43,"Psalm 24: The King of Glory","Psalm 24:7-10","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2024%3A7-10&version=NABRE
47,"Not a Bone Broken","Psalm 34:20","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2034%3A20&version=NABRE
53,"The Stone the Builders Rejected","Psalm 118:22","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%20118%3A22&version=NABRE
55,"Seated at God's Right Hand","Psalm 110:1","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%20110%3A1&version=NABRE
65,"2 Maccabees: Resurrection Hope","2 Maccabees 7:9","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=2%20Maccabees%207%3A9&version=NABRE
75,"Samuel: Prophet; Priest; and Judge","1 Samuel 3:19-20","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=1%20Samuel%203%3A19-20&version=NABRE
77,"Elijah: Fire from Heaven","1 Kings 18:38-39","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=1%20Kings%2018%3A38-39&version=NABRE
79,"Elisha and the Widow's Oil","2 Kings 4:3-6","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=2%20Kings%204%3A3-6&version=NABRE
81,"The Shunammite Woman's Faith","2 Kings 4:26","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=2%20Kings%204%3A26&version=NABRE
83,"Josiah Finds the Lost Book","2 Kings 22:8, 11","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=2%20Kings%2022%3A8%2C%2011&version=NABRE
103,"Psalm 110: Priest Forever","Psalm 110:4","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%20110%3A4&version=NABRE
105,"Psalm 16: Will Not See Decay","Psalm 16:10","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2016%3A10&version=NABRE
125,"Psalm 45: Royal Wedding Song","Psalm 45:6-7","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2045%3A6-7&version=NABRE
127,"Psalm 72: Universal Kingdom","Psalm 72:8, 11","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2072%3A8%2C%2011&version=NABRE
129,"Psalm 80: Restore Us; O God","Psalm 80:17","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2080%3A17&version=NABRE
131,"Psalm 91: Protection Under His Wings","Psalm 91:11-12","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2091%3A11-12&version=NABRE
133,"Psalm 118: The Stone Rejected","Psalm 118:22-24","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%20118%3A22-24&version=NABRE
137,"1 Chronicles 16: Seek His Face Always","1 Chronicles 16:11, 29","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=1%20Chronicles%2016%3A11%2C%2029&version=NABRE
139,"2 Chronicles 5: Glory Fills the Temple","2 Chronicles 5:13-14","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=2%20Chronicles%205%3A13-14&version=NABRE
161,"Psalm 8: Son of Man Crowned with Glory","Psalm 8:4-6","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%208%3A4-6&version=NABRE
171,"Song of Songs 5: Open to Me; My Sister","Song of Songs 5:2","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Song%20of%20Songs%205%3A2&version=NABRE
193,"1 Samuel 16: The LORD Looks at the Heart","1 Samuel 16:7","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=1%20Samuel%2016%3A7&version=NABRE
195,"2 Samuel 7: Your House Will Endure Forever","2 Samuel 7:12-13, 16","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=2%20Samuel%207%3A12-13%2C%2016&version=NABRE
197,"1 Kings 19: The Still Small Voice","1 Kings 19:11-13","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=1%20Kings%2019%3A11-13&version=NABRE
201,"Psalm 27: One Thing I Ask","Psalm 27:4","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2027%3A4&version=NABRE
203,"Psalm 63: Your Love is Better than Life","Psalm 63:1, 3-5","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2063%3A1%2C%203-5&version=NABRE
205,"Psalm 100: Enter His Gates with Thanksgiving","Psalm 100:4","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%20100%3A4&version=NABRE
207,"Psalm 141: My Prayers Like Incense","Psalm 141:2","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%20141%3A2&version=NABRE
215,"1 Maccabees 1: Desecration of the Temple","1 Maccabees 1:54, 59","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=1%20Maccabees%201%3A54%2C%2059&version=NABRE
225,"2 Kings 4: Elisha Multiplies Bread","2 Kings 4:42-44","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=2%20Kings%204%3A42-44&version=NABRE
237,"1 Kings 18: Fire from Heaven","1 Kings 18:36-39","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=1%20Kings%2018%3A36-39&version=NABRE
239,"2 Kings 6: Elisha Feeds the Hundred","2 Kings 4:42-44","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=2%20Kings%204%3A42-44&version=NABRE
249,"2 Samuel 6: Bringing the Ark to Jerusalem","2 Samuel 6:12-15","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=2%20Samuel%206%3A12-15&version=NABRE
251,"1 Kings 3: Solomon's Wisdom","1 Kings 3:5, 9, 12","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=1%20Kings%203%3A5%2C%209%2C%2012&version=NABRE
253,"Psalm 36: Abundance of Your House","Psalm 36:7-9","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2036%3A7-9&version=NABRE
255,"Psalm 50: I Will Accept No Bull","Psalm 50:8-14","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2050%3A8-14&version=NABRE
257,"Psalm 73: Whom Have I in Heaven but You?","Psalm 73:25-26, 28","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2073%3A25-26%2C%2028&version=NABRE
259,"Psalm 87: Glorious Things Are Said","Psalm 87:3, 7","We couldn’t find this page.","",https://www.biblegateway.com/passage/?search=Psalm%2087%3A3%2C%207&version=NABRE
